Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,Calories
1503960366,3/25/2016,11004,7.110000134,7.110000134,1819
1503960366,3/26/2016,17609,11.55000019,11.55000019,2154
1503960366,3/27/2016,12736,8.529999733,8.529999733,1944
1503960366,3/28/2016,13231,8.930000305,8.930000305,1932
1503960366,3/29/2016,12041,7.849999905,7.849999905,1886
1503960366,3/30/2016,10970,7.159999847,7.159999847,1820
1503960366,3/31/2016,12256,7.860000134,7.860000134,1889
1503960366,4/1/2016,12262,7.869999886,7.869999886,1868
1503960366,4/2/2016,11248,7.25,7.25,1843
1503960366,4/3/2016,10016,6.369999886,6.369999886,1850
1503960366,4/4/2016,14557,9.800000191,9.800000191,2030
1503960366,4/5/2016,14844,9.729999542,9.729999542,2083
1503960366,4/6/2016,11974,7.670000076,7.670000076,1861
1503960366,4/7/2016,10198,6.440000057,6.440000057,1755
1503960366,4/8/2016,12521,7.940000057,7.940000057,1895
1503960366,4/9/2016,12432,8.100000381,8.100000381,1883
1503960366,4/10/2016,10057,6.980000019,6.980000019,1755
1503960366,4/11/2016,10990,7.260000229,7.260000229,1811
1503960366,4/12/2016,224,0.1400000006,0.1400000006,50
1624580081,3/25/2016,1810,1.179999948,1.179999948,1373
1624580081,3/26/2016,815,0.5299999714,0.5299999714,1264
1624580081,3/27/2016,1985,1.289999962,1.289999962,1350
1624580081,3/28/2016,1905,1.24000001,1.24000001,1342
1624580081,3/29/2016,1552,1.00999999,1.00999999,1300
1624580081,3/30/2016,1675,1.090000033,1.090000033,1313
1624580081,3/31/2016,4506,2.930000067,2.930000067,1498
1624580081,4/1/2016,9218,5.989999771,5.989999771,1541
1624580081,4/2/2016,1556,1.00999999,1.00999999,1327
1624580081,4/3/2016,2910,1.889999986,1.889999986,1452
1624580081,4/4/2016,18464,12,12,1574
1624580081,4/5/2016,1335,0.8700000048,0.8700000048,1308
1624580081,4/6/2016,1004,0.6499999762,0.6499999762,1276
1624580081,4/7/2016,1111,0.7200000286,0.7200000286,1278
1624580081,4/8/2016,6344,4.119999886,4.119999886,1409
1624580081,4/9/2016,3572,2.319999933,2.319999933,1370
1624580081,4/10/2016,3910,2.539999962,2.539999962,1555
1624580081,4/11/2016,10000,6.5,6.5,1469
1624580081,4/12/2016,6627,4.309999943,4.309999943,706
1644430081,4/1/2016,4636,3.410000086,3.410000086,3323
1644430081,4/2/2016,20237,14.71000004,14.71000004,4029
1644430081,4/3/2016,12912,9.409999847,9.409999847,3436
1644430081,4/4/2016,2819,2.049999952,2.049999952,2444
1644430081,4/5/2016,9921,7.210000038,7.210000038,3098
1644430081,4/6/2016,8046,5.849999905,5.849999905,2925
1644430081,4/7/2016,11166,8.119999886,8.119999886,3202
1644430081,4/8/2016,7842,5.699999809,5.699999809,2928
1644430081,4/9/2016,13840,10.06000042,10.06000042,3290
1644430081,4/10/2016,1329,0.9700000286,0.9700000286,489
1844505072,4/1/2016,6847,4.53000021,4.53000021,1969
1844505072,4/2/2016,5367,3.549999952,3.549999952,1889
1844505072,4/3/2016,2841,1.879999995,1.879999995,1636
1844505072,4/4/2016,0,0,0,1347
1844505072,4/5/2016,0,0,0,1347
1844505072,4/6/2016,7,0,0,1349
1844505072,4/7/2016,6344,4.190000057,4.190000057,1965
1844505072,4/8/2016,5316,3.50999999,3.50999999,1824
1844505072,4/9/2016,4979,3.289999962,3.289999962,1807
1844505072,4/10/2016,6556,4.340000153,4.340000153,1971
1844505072,4/11/2016,5430,3.589999914,3.589999914,1888
1844505072,4/12/2016,0,0,0,399
1927972279,4/1/2016,4317,2.99000001,2.99000001,2590
1927972279,4/2/2016,5662,3.920000076,3.920000076,2783
1927972279,4/3/2016,3198,2.210000038,2.210000038,2449
1927972279,4/4/2016,2352,1.629999995,1.629999995,2380
1927972279,4/5/2016,2234,1.549999952,1.549999952,2344
1927972279,4/6/2016,1259,0.8700000048,0.8700000048,2202
1927972279,4/7/2016,768,0.5299999714,0.5299999714,2130
1927972279,4/8/2016,519,0.3600000143,0.3600000143,2088
1927972279,4/9/2016,2523,1.75,1.75,2443
1927972279,4/10/2016,2105,1.460000038,1.460000038,2442
1927972279,4/11/2016,1209,0.8399999738,0.8399999738,2255
1927972279,4/12/2016,24,0.01999999955,0.01999999955,942
2022484408,4/1/2016,13603,9.600000381,9.600000381,2645
2022484408,4/2/2016,5477,3.839999914,3.839999914,2040
2022484408,4/3/2016,11144,7.820000172,7.820000172,2395
2022484408,4/4/2016,15313,11,11,2581
2022484408,4/5/2016,10805,7.590000153,7.590000153,2735
2022484408,4/6/2016,15392,10.93000031,10.93000031,2733
2022484408,4/7/2016,18247,13.82999992,13.82999992,3021
2022484408,4/8/2016,13023,9.260000229,9.260000229,2577
2022484408,4/9/2016,16267,12.59000015,12.59000015,2811
2022484408,4/10/2016,10005,7.019999981,7.019999981,2458
2022484408,4/11/2016,10106,7.090000153,7.090000153,2568
2022484408,4/12/2016,6717,4.71999979,4.71999979,1140
2026352035,4/1/2016,2605,1.620000005,1.620000005,1407
2026352035,4/2/2016,1229,0.7599999905,0.7599999905,1237
2026352035,4/3/2016,2308,1.429999948,1.429999948,1330
2026352035,4/4/2016,6679,4.139999866,4.139999866,1583
2026352035,4/5/2016,5645,3.5,3.5,1538
2026352035,4/6/2016,3180,1.970000029,1.970000029,1421
2026352035,4/7/2016,2767,1.720000029,1.720000029,1392
2026352035,4/8/2016,3762,2.329999924,2.329999924,1425
2026352035,4/9/2016,3098,1.919999957,1.919999957,1413
2026352035,4/10/2016,5142,3.190000057,3.190000057,1515
2026352035,4/11/2016,3279,2.029999971,2.029999971,1405
2026352035,4/12/2016,1019,0.6299999952,0.6299999952,600
2320127002,4/1/2016,0,0,0,1324
2320127002,4/2/2016,0,0,0,1324
2320127002,4/3/2016,0,0,0,1324
2320127002,4/4/2016,0,0,0,1324
2320127002,4/5/2016,4931,3.319999933,3.319999933,1708
2320127002,4/6/2016,6999,4.71999979,4.71999979,1950
2320127002,4/7/2016,1846,1.24000001,1.24000001,1508
2320127002,4/8/2016,3417,2.299999952,2.299999952,1625
2320127002,4/9/2016,4863,3.279999971,3.279999971,1772
2320127002,4/10/2016,2277,1.529999971,1.529999971,1530
2320127002,4/11/2016,11230,7.670000076,7.670000076,2206
2320127002,4/12/2016,2098,1.409999967,1.409999967,790
2347167796,3/29/2016,10272,6.789999962,6.789999962,2041
2347167796,3/30/2016,10533,7.099999905,7.099999905,2187
2347167796,3/31/2016,6760,4.46999979,4.46999979,1929
2347167796,4/1/2016,8328,5.510000229,5.510000229,1935
2347167796,4/2/2016,15459,10.22000027,10.22000027,2438
2347167796,4/3/2016,7485,4.949999809,4.949999809,2035
2347167796,4/4/2016,10254,6.800000191,6.800000191,2099
2347167796,4/5/2016,10114,6.820000172,6.820000172,2096
2347167796,4/6/2016,11107,7.340000153,7.340000153,2058
2347167796,4/7/2016,10320,6.849999905,6.849999905,2338
2347167796,4/8/2016,10209,6.75,6.75,2104
2347167796,4/9/2016,16081,10.63000011,10.63000011,2488
2347167796,4/10/2016,10078,6.829999924,6.829999924,2164
2347167796,4/11/2016,10001,6.610000134,6.610000134,2009
2347167796,4/12/2016,0,0,0,399
2873212765,4/1/2016,890,0.6000000238,0.6000000238,1335
2873212765,4/2/2016,2214,1.49000001,1.49000001,1559
2873212765,4/3/2016,7640,5.130000114,5.130000114,1845
2873212765,4/4/2016,9713,6.53000021,6.53000021,2046
2873212765,4/5/2016,8432,5.670000076,5.670000076,1953
2873212765,4/6/2016,7350,4.940000057,4.940000057,1910
2873212765,4/7/2016,9353,6.309999943,6.309999943,2035
2873212765,4/8/2016,7157,4.809999943,4.809999943,1944
2873212765,4/9/2016,14103,9.56000042,9.56000042,2257
2873212765,4/10/2016,5290,3.549999952,3.549999952,1724
2873212765,4/11/2016,7497,5.039999962,5.039999962,1741
2873212765,4/12/2016,0,0,0,0
2891001357,3/29/2016,0,0,0,1920
2891001357,3/30/2016,0,0,0,1920
2891001357,3/31/2016,0,0,0,1920
2891001357,4/1/2016,0,0,0,4562
2891001357,4/2/2016,4126,3.220000029,0,2881
2891001357,4/3/2016,0,0,0,1920
2891001357,4/4/2016,0,0,0,1920
2891001357,4/5/2016,2063,1.610000014,0,1144
3372868164,4/1/2016,5785,3.950000048,3.950000048,1852
3372868164,4/2/2016,7625,5.230000019,5.230000019,2069
3372868164,4/3/2016,4706,3.210000038,3.210000038,1816
3372868164,4/4/2016,5861,4.019999981,4.019999981,1878
3372868164,4/5/2016,4460,3.039999962,3.039999962,1787
3372868164,4/6/2016,6406,4.389999866,4.389999866,2010
3372868164,4/7/2016,7392,5.099999905,5.099999905,2038
3372868164,4/8/2016,5551,3.789999962,3.789999962,1815
3372868164,4/9/2016,8827,6.25,6.25,2062
3372868164,4/10/2016,4662,3.180000067,3.180000067,1276
3977333714,4/1/2016,4499,3.00999999,3.00999999,1288
3977333714,4/2/2016,7618,5.099999905,5.099999905,1490
3977333714,4/3/2016,11508,7.699999809,7.699999809,1630
3977333714,4/4/2016,11943,7.989999771,7.989999771,1648
3977333714,4/5/2016,12303,8.229999542,8.229999542,1649
3977333714,4/6/2016,15425,10.31999969,10.31999969,1783
3977333714,4/7/2016,8422,5.630000114,5.630000114,1431
3977333714,4/8/2016,10226,6.840000153,6.840000153,1524
3977333714,4/9/2016,14583,9.760000229,9.760000229,1697
3977333714,4/10/2016,3573,2.390000105,2.390000105,1232
3977333714,4/11/2016,3108,2.140000105,2.140000105,1223
3977333714,4/12/2016,759,0.5699999928,0.5699999928,182
4020332650,3/12/2016,5543,3.970000029,3.970000029,2990
4020332650,3/13/2016,3226,2.309999943,2.309999943,2480
4020332650,3/14/2016,3023,2.170000076,2.170000076,2570
4020332650,3/15/2016,5906,4.230000019,4.230000019,3016
4020332650,3/16/2016,12483,8.989999771,8.989999771,3830
4020332650,3/17/2016,8940,6.409999847,6.409999847,3706
4020332650,3/18/2016,368,0.2599999905,0.2599999905,2024
4020332650,3/19/2016,5702,4.090000153,4.090000153,2980
4020332650,3/20/2016,10330,7.409999847,7.409999847,3728
4020332650,3/21/2016,8778,6.289999962,6.289999962,3348
4020332650,3/22/2016,6662,4.78000021,4.78000021,3162
4020332650,3/23/2016,6309,4.519999981,4.519999981,3140
4020332650,3/24/2016,1951,1.409999967,1.409999967,1980
4020332650,3/25/2016,5563,3.99000001,3.99000001,3681
4020332650,3/26/2016,4370,3.130000114,3.130000114,3444
4020332650,3/27/2016,7144,5.119999886,5.119999886,3510
4020332650,3/28/2016,2106,1.50999999,1.50999999,4010
4020332650,3/29/2016,4152,2.980000019,2.980000019,2976
4020332650,3/30/2016,5400,3.869999886,3.869999886,3418
4020332650,3/31/2016,7428,5.329999924,5.329999924,3439
4020332650,4/1/2016,5351,3.839999914,3.839999914,3338
4020332650,4/2/2016,4299,3.099999905,3.099999905,2892
4020332650,4/3/2016,6107,4.380000114,4.380000114,3313
4020332650,4/4/2016,6429,4.599999905,4.599999905,3118
4020332650,4/5/2016,6880,4.929999828,4.929999828,2966
4020332650,4/6/2016,7476,5.360000134,5.360000134,3253
4020332650,4/7/2016,6581,4.71999979,4.71999979,3032
4020332650,4/8/2016,10480,7.510000229,7.510000229,4034
4020332650,4/9/2016,7734,5.550000191,5.550000191,3264
4020332650,4/10/2016,5129,3.680000067,3.680000067,2817
4020332650,4/11/2016,2993,2.150000095,2.150000095,2507
4020332650,4/12/2016,8,0.009999999776,0.009999999776,446
4057192912,3/12/2016,0,0,0,1777
4057192912,3/13/2016,0,0,0,1777
4057192912,3/14/2016,8433,6.230000019,6.230000019,2453
4057192912,3/15/2016,0,0,0,1776
4057192912,3/16/2016,2139,1.559999943,1.559999943,1935
4057192912,3/17/2016,0,0,0,1776
4057192912,3/18/2016,949,0.6899999976,0.6899999976,1870
4057192912,3/19/2016,0,0,0,1777
4057192912,3/20/2016,44,0.02999999933,0.02999999933,1782
4057192912,3/21/2016,2660,1.940000057,1.940000057,1978
4057192912,3/22/2016,5561,4.190000057,4.190000057,2296
4057192912,3/23/2016,7239,5.340000153,5.340000153,2484
4057192912,3/24/2016,7,0.009999999776,0.009999999776,1787
4057192912,3/25/2016,0,0,0,1776
4057192912,3/26/2016,0,0,0,1776
4057192912,3/27/2016,2275,1.679999948,1.679999948,2005
4057192912,3/28/2016,8,0.009999999776,0.009999999776,1778
4057192912,3/29/2016,5137,3.75999999,3.75999999,2293
4057192912,3/30/2016,5419,4,4.570000172,2259
4057192912,3/31/2016,0,0,0,1776
4057192912,4/1/2016,0,0,0,1776
4057192912,4/2/2016,0,0,0,1776
4057192912,4/3/2016,0,0,0,1776
4057192912,4/4/2016,0,0,0,1776
4057192912,4/5/2016,0,0,0,1776
4057192912,4/6/2016,18,0.009999999776,0.009999999776,1780
4057192912,4/7/2016,4,0,0,1778
4057192912,4/8/2016,8426,6.159999847,6.159999847,2360
4057192912,4/9/2016,1650,1.210000038,1.210000038,1952
4057192912,4/10/2016,3434,2.50999999,2.50999999,2101
4057192912,4/11/2016,6801,4.980000019,4.980000019,2393
